alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,15,0.001,2,15,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,20,0.001,2,20,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,15,0.001,2,15,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,20,0.001,2,20,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,1,0.001,2,1,1.3893479208993393,1.9724305225294292
0.3,uniform,0,5000,20,10.0,7,2,0.001,2,2,0.9570115374073308,0.9532181267115439
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,4,0.001,2,4,1.185239586268172,1.436982664007648
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,6,0.001,2,6,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,8,0.001,2,8,0.5643025556024337,0.3076907845514612
0.3,uniform,0,5000,20,10.0,7,9,0.001,2,9,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,11,0.001,2,11,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,12,0.001,2,12,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,13,0.001,2,13,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,14,0.001,2,14,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,15,0.001,2,15,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,16,0.001,2,16,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,17,0.001,2,17,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,18,0.001,2,18,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,19,0.001,2,19,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,20,0.001,2,20,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,1,0.1,0.5,0.0,10,5.325130741141982,27.9732844844703
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,2,0.1,0.5,0.0,10,2.4321852526844148,5.867907927630532
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,3,0.1,0.5,0.0,10,1.4350637353643618,2.144668775453405
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,4,0.1,0.5,0.0,10,1.4382120730970283,2.0364497714451124
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,5,0.1,0.5,0.0,10,1.3544654723945528,1.8869272926201792
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,6,0.1,0.5,0.0,10,1.0657852492199484,1.1038402852083842
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,7,0.1,0.5,0.0,10,1.0232796258353658,1.0889028227864423
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,9,0.1,0.5,0.0,10,0.9426686558457916,0.9191228053855243
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.1,0.5,0.0,10,0.9279891750216173,0.8560696688977155
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,11,0.1,0.5,0.0,10,0.8085075638141151,0.679777518667994
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,12,0.1,0.5,0.0,10,0.9814653270206131,1.0040062772748692
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,13,0.1,0.5,0.0,10,0.841896072414211,0.753242083408178
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,14,0.1,0.5,0.0,10,0.8167557386424162,0.6575453119167556
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,15,0.1,0.5,0.0,10,0.8228910380314873,0.6904501895255193
0.3,uniform,0,5000,20,10.0,7,1,0.001,2,8,0.1,0.5,0.0,1,1.3893479208993393,1.9724305225294292
0.3,uniform,0,5000,20,10.0,7,2,0.001,2,8,0.1,0.5,0.0,2,0.9570115374073308,0.9532181267115439
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,8,0.1,0.5,0.0,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,4,0.001,2,8,0.1,0.5,0.0,4,1.185239586268172,1.436982664007648
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,8,0.1,0.5,0.0,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,6,0.001,2,8,0.1,0.5,0.0,6,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,8,0.1,0.5,0.0,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,8,0.001,2,8,0.1,0.5,0.0,8,0.5643025556024337,0.3076907845514612
0.3,uniform,0,5000,20,10.0,7,9,0.001,2,8,0.1,0.5,0.0,9,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,1,0.1,0.5,0.0,10,5.325130741141982,27.9732844844703
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,2,0.1,0.5,0.0,10,2.4321852526844148,5.867907927630532
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,3,0.1,0.5,0.0,10,1.4350637353643618,2.144668775453405
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,4,0.1,0.5,0.0,10,1.4382120730970283,2.0364497714451124
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,5,0.1,0.5,0.0,10,1.3544654723945528,1.8869272926201792
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,6,0.1,0.5,0.0,10,1.0657852492199484,1.1038402852083842
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,7,0.1,0.5,0.0,10,1.0232796258353658,1.0889028227864423
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,9,0.1,0.5,0.0,10,0.9426686558457916,0.9191228053855243
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.1,0.5,0.0,10,0.9279891750216173,0.8560696688977155
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,11,0.1,0.5,0.0,10,0.8085075638141151,0.679777518667994
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,12,0.1,0.5,0.0,10,0.9814653270206131,1.0040062772748692
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,13,0.1,0.5,0.0,10,0.841896072414211,0.753242083408178
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,14,0.1,0.5,0.0,10,0.8167557386424162,0.6575453119167556
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,15,0.1,0.5,0.0,10,0.8228910380314873,0.6904501895255193
0.3,uniform,0,5000,20,10.0,7,1,0.001,2,8,0.1,0.5,0.0,1,1.3893479208993393,1.9724305225294292
0.3,uniform,0,5000,20,10.0,7,2,0.001,2,8,0.1,0.5,0.0,2,0.9570115374073308,0.9532181267115439
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,8,0.1,0.5,0.0,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,4,0.001,2,8,0.1,0.5,0.0,4,1.185239586268172,1.436982664007648
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,8,0.1,0.5,0.0,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,6,0.001,2,8,0.1,0.5,0.0,6,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,8,0.1,0.5,0.0,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,8,0.001,2,8,0.1,0.5,0.0,8,0.5643025556024337,0.3076907845514612
0.3,uniform,0,5000,20,10.0,7,9,0.001,2,8,0.1,0.5,0.0,9,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,1,0.1,0.5,0.0,10,5.325130741141982,27.9732844844703
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,2,0.1,0.5,0.0,10,2.4321852526844148,5.867907927630532
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,3,0.1,0.5,0.0,10,1.4350637353643618,2.144668775453405
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,4,0.1,0.5,0.0,10,1.4382120730970283,2.0364497714451124
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,5,0.1,0.5,0.0,10,1.3544654723945528,1.8869272926201792
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,6,0.1,0.5,0.0,10,1.0657852492199484,1.1038402852083842
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,7,0.1,0.5,0.0,10,1.0232796258353658,1.0889028227864423
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,9,0.1,0.5,0.0,10,0.9426686558457916,0.9191228053855243
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.1,0.5,0.0,10,0.9279891750216173,0.8560696688977155
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,11,0.1,0.5,0.0,10,0.8085075638141151,0.679777518667994
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,12,0.1,0.5,0.0,10,0.9814653270206131,1.0040062772748692
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,13,0.1,0.5,0.0,10,0.841896072414211,0.753242083408178
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,14,0.1,0.5,0.0,10,0.8167557386424162,0.6575453119167556
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,15,0.1,0.5,0.0,10,0.8228910380314873,0.6904501895255193
0.3,uniform,0,5000,20,10.0,7,1,0.001,2,8,0.1,0.5,0.0,1,1.3893479208993393,1.9724305225294292
0.3,uniform,0,5000,20,10.0,7,2,0.001,2,8,0.1,0.5,0.0,2,0.9570115374073308,0.9532181267115439
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,8,0.1,0.5,0.0,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,4,0.001,2,8,0.1,0.5,0.0,4,1.185239586268172,1.436982664007648
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,8,0.1,0.5,0.0,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,6,0.001,2,8,0.1,0.5,0.0,6,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,8,0.1,0.5,0.0,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,8,0.001,2,8,0.1,0.5,0.0,8,0.5643025556024337,0.3076907845514612
0.3,uniform,0,5000,20,10.0,7,9,0.001,2,8,0.1,0.5,0.0,9,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,11,0.001,2,8,0.1,0.5,0.0,11,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,12,0.001,2,8,0.1,0.5,0.0,12,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,13,0.001,2,8,0.1,0.5,0.0,13,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,14,0.001,2,8,0.1,0.5,0.0,14,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,15,0.001,2,8,0.1,0.5,0.0,15,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,1,0.1,0.5,0.0,10,5.325130741141982,27.9732844844703
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,2,0.1,0.5,0.0,10,2.4321852526844148,5.867907927630532
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,3,0.1,0.5,0.0,10,1.4350637353643618,2.144668775453405
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,4,0.1,0.5,0.0,10,1.4382120730970283,2.0364497714451124
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,5,0.1,0.5,0.0,10,1.3544654723945528,1.8869272926201792
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,6,0.1,0.5,0.0,10,1.0657852492199484,1.1038402852083842
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,7,0.1,0.5,0.0,10,1.0232796258353658,1.0889028227864423
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,9,0.1,0.5,0.0,10,0.9426686558457916,0.9191228053855243
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.1,0.5,0.0,10,0.9279891750216173,0.8560696688977155
0.3,uniform,0,5000,20,10.0,7,1,0.001,2,8,0.1,0.5,0.0,1,1.3893479208993393,1.9724305225294292
0.3,uniform,0,5000,20,10.0,7,2,0.001,2,8,0.1,0.5,0.0,2,0.9570115374073308,0.9532181267115439
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,8,0.1,0.5,0.0,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,4,0.001,2,8,0.1,0.5,0.0,4,1.185239586268172,1.436982664007648
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,8,0.1,0.5,0.0,5,0.9056878941913695,0.8756059123889361
0.3,uniform,0,5000,20,10.0,7,6,0.001,2,8,0.1,0.5,0.0,6,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,7,0.001,2,8,0.1,0.5,0.0,7,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,8,0.001,2,8,0.1,0.5,0.0,8,0.5643025556024337,0.3076907845514612
0.3,uniform,0,5000,20,10.0,7,9,0.001,2,8,0.1,0.5,0.0,9,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,1,0.1,0.5,0.0,10,5.325130741141982,27.9732844844703
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,2,0.1,0.5,0.0,10,2.4321852526844148,5.867907927630532
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,3,0.1,0.5,0.0,10,1.4350637353643618,2.144668775453405
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,4,0.1,0.5,0.0,10,1.4382120730970283,2.0364497714451124
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,5,0.1,0.5,0.0,10,1.3544654723945528,1.8869272926201792
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,6,0.1,0.5,0.0,10,1.0657852492199484,1.1038402852083842
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,7,0.1,0.5,0.0,10,1.0232796258353658,1.0889028227864423
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,9,0.1,0.5,0.0,10,0.9426686558457916,0.9191228053855243
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.1,0.5,0.0,10,0.9279891750216173,0.8560696688977155
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,11,0.1,0.5,0.0,10,0.8085075638141151,0.679777518667994
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,12,0.1,0.5,0.0,10,0.9814653270206131,1.0040062772748692
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,13,0.1,0.5,0.0,10,0.841896072414211,0.753242083408178
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,14,0.1,0.5,0.0,10,0.8167557386424162,0.6575453119167556
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,15,0.1,0.5,0.0,10,0.8228910380314873,0.6904501895255193
0.3,uniform,0,5000,20,10.0,7,1,0.001,2,8,0.1,0.5,0.0,1,1.3893479208993393,1.9724305225294292
0.3,uniform,0,5000,20,10.0,7,2,0.001,2,8,0.1,0.5,0.0,2,0.9570115374073308,0.9532181267115439
0.3,uniform,0,5000,20,10.0,7,3,0.001,2,8,0.1,0.5,0.0,3,1.1346488913014356,1.3630836658918097
0.3,uniform,0,5000,20,10.0,7,4,0.001,2,8,0.1,0.5,0.0,4,1.185239586268172,1.436982664007648
0.3,uniform,0,5000,20,10.0,7,5,0.001,2,8,0.1,0.5,0.0,5,0.9056878941913695,0.8756059123889361
